epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9012,4.45578,8.84858,1.71975,0.0012,0.34741,0.00116,0.00025,2.95364,4.90008,1.07606,0.00053344,0.00053344,0.00053344
2,39.2756,3.09389,4.38755,1.1072,0.00195,0.51983,0.00382,0.00097,2.90905,4.31509,1.09069,0.000873464,0.000873464,0.000873464
3,65.0403,2.96252,3.56161,1.0357,0.00253,0.72931,0.16826,0.06312,2.45662,3.403,1.03617,0.000993443,0.000993443,0.000993443
4,94.5129,2.71431,3.17976,1.03226,0.41407,0.23275,0.29273,0.12433,2.00647,2.87576,0.94697,0.000676802,0.000676802,0.000676802
5,123.983,2.60854,3.22441,0.97067,0.37492,0.36638,0.30632,0.14933,1.99526,2.53146,0.95599,0.000346736,0.000346736,0.000346736
