epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.937,2.45078,4.32233,1.63562,0.57393,0.08232,0.03311,0.01573,2.67139,4.46315,1.74178,0.000254362,0.000254362,0.000254362
2,361.01,2.43264,3.16269,1.46427,0.24189,0.13548,0.05117,0.02505,2.77926,4.53027,1.77155,0.000409577,0.000409577,0.000409577
3,591.12,2.39479,2.92756,1.45655,0.47675,0.08994,0.06086,0.03067,2.64756,4.56414,1.75659,0.000463285,0.000463285,0.000463285
4,764.054,2.28469,2.70273,1.37065,0.38959,0.13134,0.08739,0.04533,2.4663,4.63636,1.63756,0.000312214,0.000312214,0.000312214
5,919.856,2.22406,2.65204,1.37896,0.34207,0.23314,0.10476,0.05387,2.44106,4.70136,1.62263,0.000159952,0.000159952,0.000159952
